"","X","id","p_value","significant","significant_fdr"
"4526",4526,"AT2G04660",0.748470346358749,TRUE,TRUE
"14457",14457,"AT5G32627",0.748570827235936,TRUE,TRUE
"12663",12663,"AT4G39870",0.74859406086431,TRUE,TRUE
"10636",10636,"AT4G09980",0.748600498680274,TRUE,TRUE
"11237",11237,"AT4G19003",0.748705754672055,TRUE,TRUE
"1316",1316,"AT1G20140",0.7488380712745,TRUE,TRUE
"6302",6302,"AT2G39980",0.748901721104444,TRUE,TRUE
"14693",14693,"AT5G40530",0.749266211037552,TRUE,TRUE
"16371",16371,"AT5G65683",0.749267892894167,TRUE,TRUE
"616",616,"AT1G09820",0.749381770175287,TRUE,TRUE
"3655",3655,"AT1G71340",0.74944188938569,TRUE,TRUE
"12679",12679,"AT4G40030",0.749551018000194,TRUE,TRUE
"7354",7354,"AT3G07330",0.749650356047441,TRUE,TRUE
"1442",1442,"AT1G22050",0.749739353519833,TRUE,TRUE
"1596",1596,"AT1G24450",0.749756545186934,TRUE,TRUE
"7077",7077,"AT3G03600",0.749922043287451,TRUE,TRUE
"2595",2595,"AT1G52370",0.749955158172832,TRUE,TRUE
"4774",4774,"AT2G16380",0.749987941503278,TRUE,TRUE
"13150",13150,"AT5G07980",0.750154752548354,TRUE,TRUE
"3267",3267,"AT1G65370",0.750258905380384,TRUE,TRUE
"9611",9611,"AT3G55070",0.750305754127689,TRUE,TRUE
"14656",14656,"AT5G39863",0.750483223438983,TRUE,TRUE
"7568",7568,"AT3G10670",0.750487174117007,TRUE,TRUE
"13288",13288,"AT5G10330",0.750550126332802,TRUE,TRUE
"3867",3867,"AT1G74410",0.750570480944134,TRUE,TRUE
"1861",1861,"AT1G29710",0.750756360996316,TRUE,TRUE
"9526",9526,"AT3G53930",0.750796134488593,TRUE,TRUE
"4473",4473,"AT2G03530",0.750803001114919,TRUE,TRUE
"3115",3115,"AT1G62880",0.750854578839764,TRUE,TRUE
"4838",4838,"AT2G17410",0.75092411981983,TRUE,TRUE
"5983",5983,"AT2G35635",0.750932746191134,TRUE,TRUE
"3803",3803,"AT1G73603",0.750980378401518,TRUE,TRUE
"12174",12174,"AT4G33090",0.751655252406967,TRUE,TRUE
"2078",2078,"AT1G33080",0.751671584721204,TRUE,TRUE
"5135",5135,"AT2G22300",0.751743789974675,TRUE,TRUE
"6343",6343,"AT2G40480",0.751754090573073,TRUE,TRUE
"11622",11622,"AT4G25120",0.751886161771497,TRUE,TRUE
"8098",8098,"AT3G17890",0.751912876023465,TRUE,TRUE
"882",882,"AT1G13780",0.751930090355757,TRUE,TRUE
"8591",8591,"AT3G25620",0.751937428267621,TRUE,TRUE
"13580",13580,"AT5G14620",0.751954661744831,TRUE,TRUE
"12308",12308,"AT4G34920",0.752105793160607,TRUE,TRUE
"2012",2012,"AT1G31970",0.752120458323294,TRUE,TRUE
