"","X","id","p_value","significant","significant_fdr"
"13369",13369,"AT5G11670",5.76406790947157e-28,TRUE,FALSE
"10124",10124,"AT3G63190",7.54567714186123e-28,TRUE,FALSE
"2452",2452,"AT1G49975",8.61985051199989e-28,TRUE,FALSE
"1367",1367,"AT1G21000",9.03559467429185e-28,TRUE,FALSE
"12506",12506,"AT4G37925",1.0381484558652e-27,TRUE,FALSE
"2648",2648,"AT1G53310",1.46633114632735e-27,TRUE,FALSE
"15595",15595,"AT5G54810",1.81245704363698e-27,TRUE,FALSE
"14621",14621,"AT5G39530",2.00714045004211e-27,TRUE,FALSE
"13778",13778,"AT5G17860",2.06437016441875e-27,TRUE,FALSE
"9667",9667,"AT3G56040",2.27513054873066e-27,TRUE,FALSE
"2102",2102,"AT1G33600",2.77485168068257e-27,TRUE,FALSE
"9757",9757,"AT3G57330",2.91430985388899e-27,TRUE,FALSE
"5245",5245,"AT2G24270",3.27612971135615e-27,TRUE,FALSE
"14950",14950,"AT5G44585",4.06368305508058e-27,TRUE,FALSE
"2010",2010,"AT1G32060",4.51397959865532e-27,TRUE,FALSE
"12224",12224,"AT4G34050",4.87535193895786e-27,TRUE,FALSE
"9125",9125,"AT3G48200",5.26512594981997e-27,TRUE,FALSE
"3715",3715,"AT1G72430",5.4958942829528e-27,TRUE,FALSE
"11168",11168,"AT4G18170",7.00381031786029e-27,TRUE,FALSE
"10249",10249,"AT4G01310",7.93925711738575e-27,TRUE,FALSE
"5550",5550,"AT2G29180",8.23124972569462e-27,TRUE,FALSE
"1784",1784,"AT1G28280",9.30174329503126e-27,TRUE,FALSE
"8144",8144,"AT3G18680",1.35803915328842e-26,TRUE,FALSE
"14601",14601,"AT5G38900",1.48543128917744e-26,TRUE,FALSE
"14253",14253,"AT5G25250",1.55104046260193e-26,TRUE,FALSE
"9430",9430,"AT3G52840",1.5876421439288e-26,TRUE,FALSE
"6212",6212,"AT2G38940",2.18797937953623e-26,TRUE,FALSE
"11342",11342,"AT4G21390",2.19821489265015e-26,TRUE,FALSE
"6289",6289,"AT2G39930",2.3886549689744e-26,TRUE,FALSE
"2730",2730,"AT1G54500",2.76286386177355e-26,TRUE,FALSE
"9516",9516,"AT3G53960",3.00559350986942e-26,TRUE,FALSE
"9604",9604,"AT3G55150",3.29391716751208e-26,TRUE,FALSE
"15461",15461,"AT5G52830",3.40011619493225e-26,TRUE,FALSE
"2513",2513,"AT1G51100",4.0947693992517e-26,TRUE,FALSE
"1954",1954,"AT1G31130",4.16630064241046e-26,TRUE,FALSE
"2503",2503,"AT1G50900",4.75132821078574e-26,TRUE,FALSE
"11084",11084,"AT4G17050",6.15310673328373e-26,TRUE,FALSE
"3193",3193,"AT1G64400",6.38958658769746e-26,TRUE,FALSE
"14999",14999,"AT5G45410",9.12856792441265e-26,TRUE,FALSE
"3760",3760,"AT1G73060",9.2868840542288e-26,TRUE,FALSE
"13632",13632,"AT5G15780",1.11084925154315e-25,TRUE,FALSE
"8638",8638,"AT3G26520",1.12254956161011e-25,TRUE,FALSE
"10046",10046,"AT3G62030",1.76244977893968e-25,TRUE,FALSE
"5347",5347,"AT2G26080",1.85014296906741e-25,TRUE,FALSE
"13643",13643,"AT5G15960",1.86073750659768e-25,TRUE,FALSE
"14946",14946,"AT5G44575",1.86803253046539e-25,TRUE,FALSE
"8577",8577,"AT3G25610",1.98231603793013e-25,TRUE,FALSE
"3566",3566,"AT1G70160",2.16775474922166e-25,TRUE,FALSE
"10165",10165,"AT4G00165",2.27127308250521e-25,TRUE,FALSE
"1946",1946,"AT1G30900",2.51662851155992e-25,TRUE,FALSE
"933",933,"AT1G14540",2.88007598009362e-25,TRUE,FALSE
"13451",13451,"AT5G13080",5.04962601355864e-25,TRUE,FALSE
"10757",10757,"AT4G12470",5.4652279186733e-25,TRUE,FALSE
"8616",8616,"AT3G26210",5.54540818540976e-25,TRUE,FALSE
"9332",9332,"AT3G51510",5.97778794154199e-25,TRUE,FALSE
"4832",4832,"AT2G17420",6.35337947133108e-25,TRUE,FALSE
"5751",5751,"AT2G32100",6.73533627834182e-25,TRUE,FALSE
"14623",14623,"AT5G39580",7.78061768743996e-25,TRUE,FALSE
"11999",11999,"AT4G30950",7.82932008424938e-25,TRUE,FALSE
"1764",1764,"AT1G27970",8.67374860405263e-25,TRUE,FALSE
"2656",2656,"AT1G53430",1.1684316774336e-24,TRUE,FALSE
"824",824,"AT1G12900",1.23727819403726e-24,TRUE,FALSE
"5887",5887,"AT2G34250",1.26259033900085e-24,TRUE,FALSE
"638",638,"AT1G10140",1.43122499015419e-24,TRUE,FALSE
"2064",2064,"AT1G32940",1.59766113743185e-24,TRUE,FALSE
"2040",2040,"AT1G32470",1.85957477675644e-24,TRUE,FALSE
"7751",7751,"AT3G13330",2.01757675023228e-24,TRUE,FALSE
"40",40,"AT1G01550",2.74021999750998e-24,TRUE,FALSE
"3231",3231,"AT1G64860",3.06542809455287e-24,TRUE,FALSE
"13679",13679,"AT5G16400",3.2004710076054e-24,TRUE,FALSE
"10119",10119,"AT3G63140",3.52993131061225e-24,TRUE,FALSE
"14206",14206,"AT5G24570",8.12186322049992e-24,TRUE,FALSE
"7707",7707,"AT3G12740",8.22737661932051e-24,TRUE,FALSE
"5443",5443,"AT2G27500",8.39929660871229e-24,TRUE,FALSE
